
WARNING:tensorflow:From C:\Users\giova\anaconda3\envs\DLA\lib\site-packages\keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.
C:\Users\giova\__PRODUCTIVITY\ArtificialIntelligence\__UNI\PW_AutonomousAgents\agent.py:90: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at C:\cb\pytorch_1000000000000\work\torch\csrc\utils\tensor_new.cpp:264.)
  states = torch.tensor(normalized_states, dtype=torch.float32, device=self.device)
wandb: WARNING (User provided step: 51 is less than current step: 99. Dropping entry: {'State/2 - EP': 11.539182662963867, 'State/2 - EV': 1.4623439311981201, 'State/2 - ACC': -1.4502512216567993, '_timestamp': 1728851398.6369946}).
wandb: WARNING (User provided step: 52 is less than current step: 99. Dropping entry: {'State/2 - EP': 11.902955055236816, 'State/2 - EV': 1.607369065284729, 'State/2 - ACC': -0.11758793890476227, '_timestamp': 1728851398.6405046}).
wandb: WARNING (User provided step: 53 is less than current step: 99. Dropping entry: {'State/2 - EP': 12.081330299377441, 'State/2 - EV': 1.619127869606018, 'State/2 - ACC': -0.6402010321617126, '_timestamp': 1728851398.6405046}).
wandb: WARNING (User provided step: 54 is less than current step: 99. Dropping entry: {'State/2 - EP': 12.339273452758789, 'State/2 - EV': 1.6831480264663696, 'State/2 - ACC': -1.580904483795166, '_timestamp': 1728851398.6415045}).
wandb: WARNING (User provided step: 55 is less than current step: 99. Dropping entry: {'State/2 - EP': 12.74472427368164, 'State/2 - EV': 1.8412384986877441, 'State/2 - ACC': -0.19597989320755005, '_timestamp': 1728851398.6415045}).
wandb: WARNING (User provided step: 56 is less than current step: 99. Dropping entry: {'State/2 - EP': 12.958245277404785, 'State/2 - EV': 1.8608365058898926, 'State/2 - ACC': 2.364824056625366, '_timestamp': 1728851398.6455042}).
wandb: WARNING (User provided step: 57 is less than current step: 99. Dropping entry: {'State/2 - EP': 12.789605140686035, 'State/2 - EV': 1.6243541240692139, 'State/2 - ACC': 1.188944697380066, '_timestamp': 1728851398.6465046}).
wandb: WARNING (User provided step: 58 is less than current step: 99. Dropping entry: {'State/2 - EP': 12.773698806762695, 'State/2 - EV': 1.5054596662521362, 'State/2 - ACC': -2.364824056625366, '_timestamp': 1728851398.6465046}).
wandb: WARNING (User provided step: 59 is less than current step: 99. Dropping entry: {'State/2 - EP': 13.278968811035156, 'State/2 - EV': 1.741942048072815, 'State/2 - ACC': -0.4311557710170746, '_timestamp': 1728851398.6465046}).
wandb: WARNING (User provided step: 60 is less than current step: 99. Dropping entry: {'State/2 - EP': 13.517836570739746, 'State/2 - EV': 1.7850576639175415, 'State/2 - ACC': -2.547738790512085, '_timestamp': 1728851398.6500132}).
wandb: WARNING (User provided step: 61 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.078503608703613, 'State/2 - EV': 2.0398316383361816, 'State/2 - ACC': 1.3457286357879639, '_timestamp': 1728851398.6510127}).
wandb: WARNING (User provided step: 62 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.08062744140625, 'State/2 - EV': 1.9052587747573853, 'State/2 - ACC': -1.188944697380066, '_timestamp': 1728851398.6510127}).
wandb: WARNING (User provided step: 63 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.449495315551758, 'State/2 - EV': 2.024153232574463, 'State/2 - ACC': 2.469346761703491, '_timestamp': 1728851398.6510127}).
wandb: WARNING (User provided step: 64 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.281508445739746, 'State/2 - EV': 1.7772185802459717, 'State/2 - ACC': 1.737688422203064, '_timestamp': 1728851398.6555438}).
wandb: WARNING (User provided step: 65 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.198576927185059, 'State/2 - EV': 1.6034497022628784, 'State/2 - ACC': -2.2603015899658203, '_timestamp': 1728851398.6555438}).
wandb: WARNING (User provided step: 66 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.697967529296875, 'State/2 - EV': 1.8294798135757446, 'State/2 - ACC': 0.8492462038993835, '_timestamp': 1728851398.6555438}).
wandb: WARNING (User provided step: 67 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.753528594970703, 'State/2 - EV': 1.7445552349090576, 'State/2 - ACC': 2.4954774379730225, '_timestamp': 1728851398.656547}).
wandb: WARNING (User provided step: 68 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.553662300109863, 'State/2 - EV': 1.4950075149536133, 'State/2 - ACC': 1.8683416843414307, '_timestamp': 1728851398.6600814}).
wandb: WARNING (User provided step: 69 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.422911643981934, 'State/2 - EV': 1.3081732988357544, 'State/2 - ACC': 1.1628140211105347, '_timestamp': 1728851398.6600814}).
wandb: WARNING (User provided step: 70 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.37930679321289, 'State/2 - EV': 1.1918919086456299, 'State/2 - ACC': -1.7638190984725952, '_timestamp': 1728851398.661082}).
wandb: WARNING (User provided step: 71 is less than current step: 99. Dropping entry: {'State/2 - EP': 14.763069152832031, 'State/2 - EV': 1.3682738542556763, 'State/2 - ACC': -1.8160804510116577, '_timestamp': 1728851398.661082}).
wandb: WARNING (User provided step: 72 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.172308921813965, 'State/2 - EV': 1.549881935119629, 'State/2 - ACC': 2.103517532348633, '_timestamp': 1728851398.667082}).
wandb: WARNING (User provided step: 73 is less than current step: 99. Dropping entry: {'State/2 - EP': 15.01176929473877, 'State/2 - EV': 1.3395302295684814, 'State/2 - ACC': -2.103517532348633, '_timestamp': 1728851398.667082}).
